contrast,ratio,SE,df,z.ratio,p.value
Stage 11 Early Control DMEL / (Stage 12-14 Early Control DMEL),0.9983927117770321,0.9218992548100512,Inf,-0.001742051351357284,1
Stage 11 Early Control DMEL / (Stages 1-7 Early Control DMEL),9.992856673371948e-11,6.063829476541697e-11,Inf,-37.9465104997013,0
Stage 11 Early Control DMEL / (Stages 8-10 Early Control DMEL),3.4974577764586604e-9,3.389187823979785e-9,Inf,-20.093251394047602,0
Stage 11 Early Control DMEL / Stage 11 Late Control DMEL,2.0984899016044374e-9,1.251818497040112e-9,Inf,-33.49696918204948,0
Stage 11 Early Control DMEL / (Stage 12-14 Late Control DMEL),2.098499563749263e-9,1.6461571915568446e-9,Inf,-25.472846238024204,0
Stage 11 Early Control DMEL / (Stages 1-7 Late Control DMEL),1.0492465969235919e-10,6.298424032078585e-11,Inf,-38.2783944455287,0
Stage 11 Early Control DMEL / (Stages 8-10 Late Control DMEL),6.295768374822916e-9,7.072594777205694e-9,Inf,-16.809309942641146,0
Stage 11 Early Control DMEL / Stage 11 Early HighTemp DMEL,3.70733596562273e-9,2.176870265925462e-9,Inf,-33.061380523416275,0
Stage 11 Early Control DMEL / (Stage 12-14 Early HighTemp DMEL),1.4258801909589305e-9,9.14004939518211e-10,Inf,-31.775547326983272,0
Stage 11 Early Control DMEL / (Stages 1-7 Early HighTemp DMEL),8.827026411127908e-11,5.2009332165730695e-11,Inf,-39.291239949478346,0
Stage 11 Early Control DMEL / (Stages 8-10 Early HighTemp DMEL),1.0903953857577486e-9,6.900495799562563e-10,Inf,-32.60952673584338,0
Stage 11 Early Control DMEL / Stage 11 Late HighTemp DMEL,8.088090486724177e-10,5.186066998684417e-10,Inf,-32.65053861336452,0
Stage 11 Early Control DMEL / (Stage 12-14 Late HighTemp DMEL),1.1764437033745096e-9,7.765935336927612e-10,Inf,-31.147037763088097,0
Stage 11 Early Control DMEL / (Stages 1-7 Late HighTemp DMEL),8.62714904170808e-11,5.0907865645006966e-11,Inf,-39.27122556617712,0
Stage 11 Early Control DMEL / (Stages 8-10 Late HighTemp DMEL),8.627196714251269e-10,5.501614652064566e-10,Inf,-32.72814280725552,0
Stage 11 Early Control DMEL / Stage 11 Early Control DPSE,0.9538134498253822,0.9639313379901059,Inf,-0.0467908229518271,1
