contrast,estimate,SE,df,z.ratio,p.value
Stage 11 Early Control DMEL - (Stage 12-14 Early Control DMEL),-0.0016085812964305622,0.9233833980710549,Inf,-0.001742051351357284,1
Stage 11 Early Control DMEL - (Stages 1-7 Early Control DMEL),-23.026565517860405,0.6068164164407598,Inf,-37.9465104997013,0
Stage 11 Early Control DMEL - (Stages 8-10 Early Control DMEL),-19.471229481953948,0.9690432424352228,Inf,-20.093251394047602,0
Stage 11 Early Control DMEL - Stage 11 Late Control DMEL,-19.982047845363557,0.5965330098005295,Inf,-33.49696918204948,0
Stage 11 Early Control DMEL - (Stage 12-14 Late Control DMEL),-19.98204324104186,0.7844448576466485,Inf,-25.472846238024204,0
Stage 11 Early Control DMEL - (Stages 1-7 Late Control DMEL),-22.977778550055977,0.6002806252167667,Inf,-38.2783944455287,0
Stage 11 Early Control DMEL - (Stages 8-10 Late Control DMEL),-18.883388115767435,1.1233886566553726,Inf,-16.809309942641146,0
Stage 11 Early Control DMEL - Stage 11 Early HighTemp DMEL,-19.412952286827085,0.5871791189444596,Inf,-33.061380523416275,0
Stage 11 Early Control DMEL - (Stage 12-14 Early HighTemp DMEL),-20.368476536044337,0.6410110367712774,Inf,-31.775547326983272,0
Stage 11 Early Control DMEL - (Stages 1-7 Early HighTemp DMEL),-23.150617824816607,0.5892055800372868,Inf,-39.291239949478346,0
Stage 11 Early Control DMEL - (Stages 8-10 Early HighTemp DMEL),-20.636725467252035,0.6328434519894085,Inf,-32.60952673584338,0
Stage 11 Early Control DMEL - Stage 11 Late HighTemp DMEL,-20.935458260509872,0.6411979449533666,Inf,-32.65053861336452,0
Stage 11 Early Control DMEL - (Stage 12-14 Late HighTemp DMEL),-20.560769759841417,0.6601195887786057,Inf,-31.147037763088097,0
Stage 11 Early Control DMEL - (Stages 1-7 Late HighTemp DMEL),-23.173521926797328,0.5900890943102076,Inf,-39.27122556617712,0
Stage 11 Early Control DMEL - (Stages 8-10 Late HighTemp DMEL),-20.870931307944016,0.6377059471678034,Inf,-32.72814280725552,0
Stage 11 Early Control DMEL - Stage 11 Early Control DPSE,-0.047287171911729736,1.0106078271034824,Inf,-0.0467908229518271,1
Stage 11 Early Control DMEL - (Stage 12-14 Early Control DPSE),-0.0480235241772042,1.8564247464426975,Inf,-0.02586882353794703,1
Stage 11 Early Control DMEL - (Stages 1-7 Early Control DPSE),-23.25297545825642,0.5861408658693461,Inf,-39.671309086713,0
Stage 11 Early Control DMEL - (Stages 8-10 Early Control DPSE),-0.04815846624735412,3.101073548974939,Inf,-0.015529611112665457,1
Stage 11 Early Control DMEL - Stage 11 Late Control DPSE,-20.115571203438105,0.7485988832106459,Inf,-26.870960743576003,0
Stage 11 Early Control DMEL - (Stage 12-14 Late Control DPSE),-21.77380338336604,0.6245846219795972,Inf,-34.86125437151302,0
Stage 11 Early Control DMEL - (Stages 1-7 Late Control DPSE),-22.918941576745084,0.5975118960063701,Inf,-38.357297536551044,0
Stage 11 Early Control DMEL - (Stages 8-10 Late Control DPSE),-21.127178089589446,0.6573673678690551,Inf,-32.139073404382756,0
Stage 11 Early Control DMEL - Stage 11 Early HighTemp DPSE,-19.67665859915295,0.6839048015054257,Inf,-28.771049063905203,0
Stage 11 Early Control DMEL - (Stage 12-14 Early HighTemp DPSE),-20.128640933902517,0.6580614054020182,Inf,-30.58778522591774,0
Stage 11 Early Control DMEL - (Stages 1-7 Early HighTemp DPSE),-23.106032670286222,0.5886590203468448,Inf,-39.25198097987503,0
Stage 11 Early Control DMEL - (Stages 8-10 Early HighTemp DPSE),-20.621123567121288,0.6306947164608306,Inf,-32.69588761237382,0
Stage 11 Early Control DMEL - Stage 11 Late HighTemp DPSE,-21.06231040127639,0.6168937128272597,Inf,-34.1425272511639,0
Stage 11 Early Control DMEL - (Stage 12-14 Late HighTemp DPSE),-21.98597966086888,0.5969626060907639,Inf,-36.82974349908622,0
Stage 11 Early Control DMEL - (Stages 1-7 Late HighTemp DPSE),-22.722297352003142,0.5907048802448273,Inf,-38.46641209834853,0
Stage 11 Early Control DMEL - (Stages 8-10 Late HighTemp DPSE),-21.167667899806354,0.6124901573940673,Inf,-34.5600131598317,0
(Stage 12-14 Early Control DMEL) - (Stages 1-7 Early Control DMEL),-23.024956936563974,1.0449507960150477,Inf,-22.034489111229316,0
(Stage 12-14 Early Control DMEL) - (Stages 8-10 Early Control DMEL),-19.469620900657517,1.2905189503998309,Inf,-15.086660211092138,0
(Stage 12-14 Early Control DMEL) - Stage 11 Late Control DMEL,-19.980439264067126,1.0973877889663672,Inf,-18.20727318543134,0
(Stage 12-14 Early Control DMEL) - (Stage 12-14 Late Control DMEL),-19.98043465974543,1.0826253025184243,Inf,-18.455540077685743,0
(Stage 12-14 Early Control DMEL) - (Stages 1-7 Late Control DMEL),-22.976169968759546,1.0421362360245703,Inf,-22.04718459498787,0
(Stage 12-14 Early Control DMEL) - (Stages 8-10 Late Control DMEL),-18.881779534471004,1.4138015975370903,Inf,-13.355324797598165,0
(Stage 12-14 Early Control DMEL) - Stage 11 Early HighTemp DMEL,-19.411343705530655,1.1007015695468565,Inf,-17.635428387298507,0
(Stage 12-14 Early Control DMEL) - (Stage 12-14 Early HighTemp DMEL),-20.366867954747907,1.0335736039643786,Inf,-19.7052903408414,0
(Stage 12-14 Early Control DMEL) - (Stages 1-7 Early HighTemp DMEL),-23.149009243520176,1.0356821165028791,Inf,-22.351461780267037,0
(Stage 12-14 Early Control DMEL) - (Stages 8-10 Early HighTemp DMEL),-20.635116885955604,1.0617180044589867,Inf,-19.435590994305986,0
(Stage 12-14 Early Control DMEL) - Stage 11 Late HighTemp DMEL,-20.93384967921344,1.0643625365691347,Inf,-19.66796928675411,0
(Stage 12-14 Early Control DMEL) - (Stage 12-14 Late HighTemp DMEL),-20.559161178544986,1.0867010911966841,Inf,-18.9188741458841,0
