Species;Treatment;Sex;emmean;SE;df;lower.CL;upper.CL
DMEL;C-C;F;39,5399999999998;0,123136921820620;127,000000000027;39,2963342536580;39,7836657463416
DPSE;C-C;F;35,6454545454546;0,117406448310820;127,000000000014;35,4131283720371;35,8777807188722
DMEL;C-H;F;39,1000000000000;0,194696568507623;127,000000000005;38,7147306268975;39,4852693731025
DPSE;C-H;F;35,7750000000000;0,137671263865491;127,000000000012;35,5025734136957;36,0474265863043
DMEL;H-C;F;38,1750000000000;0,137671263865491;127,000000000010;37,9025734136957;38,4474265863042
DPSE;H-C;F;37,0444444444444;0,129797712338415;127,000000000012;36,7875981957094;37,3012906931794
DMEL;H-H;F;40,8800000000000;0,174141904867596;127,000000000005;40,5354045968376;41,2245954031624
DPSE;H-H;F;35,0400000000000;0,123136921820620;127,000000000014;34,7963342536582;35,2836657463418
DMEL;C-C;M;39,2700000000002;0,123136921820620;127,000000000012;39,0263342536584;39,5136657463420
DPSE;C-C;M;35,8461538461538;0,107998224755557;127,000000000017;35,6324448492943;36,0598628430134
DMEL;C-H;M;38,9200000000000;0,174141904867596;127,000000000008;38,5754045968376;39,2645954031624
DPSE;C-H;M;34,6454545454545;0,117406448310820;127,000000000017;34,4131283720370;34,8777807188721
DMEL;H-C;M;38,7222222222222;0,129797712338415;127,000000000012;38,4653759734872;38,9790684709572
DPSE;H-C;M;36,4600000000000;0,123136921820620;127,000000000013;36,2163342536582;36,7036657463418
DMEL;H-H;M;37,7600000000000;0,123136921820620;127,000000000014;37,5163342536582;38,0036657463418
DPSE;H-H;M;35,5900000000000;0,123136921820620;127,000000000014;35,3463342536582;35,8336657463418
