Species;Treatment;Sex;emmean;SE;df;lower.CL;upper.CL
DMEL;C-C;F;0,982642387904270;0,0605751478320575;4,39535482383498;0,820260184535444;1,145024591273096
DPSE;C-C;F;0,727272727272728;0,0770649582434663;3,20973353274237;0,490839106189424;0,963706348356031
DMEL;C-H;F;1,114285714285714;0,0826170014421219;4,24748455993158;0,890080173399401;1,338491255172027
DPSE;C-H;F;1,057142857142856;0,0826170014421220;4,24748455993156;0,832937316256543;1,281348398029169
DMEL;H-C;F;1,107633585506658;0,0545061099864505;6,40885813436427;0,976297533775118;1,238969637238198
DPSE;H-C;F;1,032080322896364;0,0654332310604115;6,13370588048787;0,872813202647539;1,191347443145189
DMEL;H-H;F;1,196820214557857;0,0754433215996034;11,27023910363581;1,031255068216809;1,362385360898904
DPSE;H-H;F;1,100000000000001;0,0780650753426637;3,38098813029471;0,866672661930241;1,333327338069762
DMEL;C-C;M;0,588888888888896;0,0792703069569036;3,59628358438958;0,358704269185123;0,819073508592668
DPSE;C-C;M;0,745454545454546;0,0770649582434664;3,20973353274240;0,509020924371243;0,981888166537849
DMEL;C-H;M;0,599999999999999;0,0850406341049496;4,77066830385435;0,378197224239382;0,821802775760616
DPSE;C-H;M;0,700000000000000;0,0792703069569040;3,59628358438964;0,469815380296229;0,930184619703772
DMEL;H-C;M;0,583194812487159;0,0556293514371930;3,48451749568689;0,419300735586538;0,747088889387779
DPSE;H-C;M;0,741243929932132;0,0821498226397704;6,84651695594318;0,546104192460463;0,936383667403800
DMEL;H-H;M;0,680000000000001;0,0780650753426637;3,38098813029471;0,446672661930240;0,913327338069761
DPSE;H-H;M;0,799999999999999;0,0780650753426638;3,38098813029470;0,566672661930238;1,033327338069761
