Round,Bottle ,Species,Treatment,Sex ,Age,CT_max,Vial,Pre-weight,Post-weight,Comments,
1,1,DPSE,C-H,F,10,36,130,0.01094,0.01055,,
1,2,DPSE,C-H,F,10,36.1,130,0.01253,0.01243,,
1,3,DPSE,C-H,F,10,35.8,130,0.02748,0.02739,,
1,4,DPSE,C-H,F,10,35.8,130,0.03398,0.03419,,
1,5,DPSE,C-H,F,10,35.4,130,0.01693,0.01717,,
1,6,DPSE,C-H,F,10,35.5,130,0.00952,0.00973,,
1,7,DPSE,C-H,F,10,35.8,130,0.01553,0.01567,,
1,8,DPSE,C-H,F,10,35.8,130,0.001672,0.00156,,
1,21,DPSE,H-H,F,10,34.8,101,0.04336,0.04314,,
1,22,DPSE,H-H,F,10,34.7,101,0.06242,0.06223,,
1,23,DPSE,H-H,F,10,34.7,101,0.0278,0.0.2758,,
1,24,DPSE,H-H,F,10,35.4,101,0.03521,0.03504,,
1,25,DPSE,H-H,F,10,35.4,101,0.02436,0.02415,,
1,26,DPSE,H-H,F,10,35.2,101,0.01202,0.0118,,
1,27,DPSE,H-H,F,10,34.9,101,0.01869,0.01883,,
1,28,DPSE,H-H,F,10,35.2,101,0.16014,0.16035,,
1,29,DPSE,H-H,F,10,35.2,101,0.00908,0.00893,,
1,30,DPSE,H-H,F,10,34.9,101,0.0266,0.02681,,
2,14,DPSE,C-C,F,10,35.9,203,0.01321,0.01298,,
2,15,DPSE,C-C,F,10,34.5,203,0.00381,0.0037,looks,dead
2,16,DPSE,C-C,F,10,35.6,203,0.00395,0.00405,,
2,17,DPSE,C-C,F,10,35.6,203,0.01244,0.01224,,
2,18,DPSE,C-C,F,10,35.8,203,0.01504,0.01485,,
2,19,DPSE,C-C,F,10,35.9,203,0.03541,0.03566,,
2,20,DPSE,C-C,F,10,35.9,203,0.02204,0.02178,,
2,21,DPSE,C-C,F,10,35.6,203,0.04309,0.04399,,
2,22,DPSE,C-C,F,10,35.1,203,0.06275,0.06253,,
2,23,DPSE,C-C,F,10,36,203,0.02792,0.02767,,
2,24,DPSE,C-C,F,10,36.2,203,0.03543,0.03521,,
1,9,DPSE,C-H,M,10,34.7,125,0.00216,0.00201,,
1,10,DPSE,C-H,M,10,34.5,125,0.01129,0.0111,,
1,11,DPSE,C-H,M,10,35.4,125,0.04657,0.04641,,
1,12,DPSE,C-H,M,10,35.4,125,0.0192,0.0194,,
1,13,DPSE,C-H,M,10,34.7,125,0.10988,0.10999,,
1,14,DPSE,C-H,M,10,33.6,125,0.01241,0.0122,,
1,15,DPSE,C-H,M,10,34.9,125,0.00392,0.00374,,
1,16,DPSE,C-H,M,10,33.6,125,0.00382,0.00403,,
1,17,DPSE,C-H,M,10,35.2,125,0.01173,0.01161,,
1,19,DPSE,C-H,M,10,35.2,125,0.03598,0.03616,,
1,20,DPSE,C-H,M,10,33.9,125,0.002134,0.02122,,
1,31,DPSE,H-H,M,10,35.3,99,0.06117,0.06097,,
1,32,DPSE,H-H,M,10,35.2,99,0.00499,0.00488,,
1,33,DPSE,H-H,M,10,35.7,99,0.14954,0.14974,,
1,34,DPSE,H-H,M,10,35.9,99,0.17829,0.17838,,
1,35,DPSE,H-H,M,10,35.8,99,0.12008,0.12035,,
1,36,DPSE,H-H,M,10,35.6,99,0.03958,0.03946,,
1,37,DPSE,H-H,M,10,35.6,99,0.0131,0.01323,,
1,38,DPSE,H-H,M,10,35.8,99,0.05773,0.05763,,
1,39,DPSE,H-H,M,10,35.5,99,0.04568,0.0458,,
1,40,DPSE,H-H,M,10,35.5,99,0.02981,0.02977,,
2,1,DPSE,C-C,M,10,35.9,194,0.01042,0.01026,,
2,2,DPSE,C-C,M,10,36,194,0.01224,0.01215,,
2,3,DPSE,C-C,M,10,36,194,0.02757,0.02741,,
