Species,Age,Treatment,Stage,Number_Oocyte,TUNEL_Cell,Ovary,Ovariole,Image_Code,Replicate,TUNEL_Ovariole,Timepoint,Replicate_Cor
DMEL,1,Control,Stage 11,0,0,1,1,9_1,1,0,Early,1
DMEL,1,Control,Stage 12-14,0,0,1,1,9_1,1,0,Early,1
DMEL,1,Control,Stages 1-7,3,0,1,1,9_1,1,0,Early,1
DMEL,1,Control,Stages 8-10,0,0,1,1,9_1,1,0,Early,1
DMEL,1,Control,Stage 11,0,0,1,3,9_1,1,0,Early,1
DMEL,1,Control,Stage 12-14,0,0,1,3,9_1,1,0,Early,1
DMEL,1,Control,Stages 1-7,3,0,1,3,9_1,1,0,Early,1
DMEL,1,Control,Stages 8-10,0,0,1,3,9_1,1,0,Early,1
DMEL,1,Control,Stage 11,0,0,1,2,9_1,1,1,Early,1
DMEL,1,Control,Stage 12-14,0,0,1,2,9_1,1,1,Early,1
DMEL,1,Control,Stages 1-7,4,1,1,2,9_1,1,1,Early,1
DMEL,1,Control,Stages 8-10,0,0,1,2,9_1,1,1,Early,1
DMEL,1,Control,Stage 11,0,0,1,3,9_2,2,0,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,3,9_2,2,0,Early,2
DMEL,1,Control,Stages 1-7,3,0,1,3,9_2,2,0,Early,2
DMEL,1,Control,Stages 8-10,1,0,1,3,9_2,2,0,Early,2
DMEL,1,Control,Stage 11,0,0,1,4,9_2,2,0,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,4,9_2,2,0,Early,2
DMEL,1,Control,Stages 1-7,3,0,1,4,9_2,2,0,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,4,9_2,2,0,Early,2
DMEL,1,Control,Stage 11,0,0,1,6,9_2,2,0,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,6,9_2,2,0,Early,2
DMEL,1,Control,Stages 1-7,3,0,1,6,9_2,2,0,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,6,9_2,2,0,Early,2
DMEL,1,Control,Stages 1-7,4,0,1,7,9_2,2,0,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,7,9_2,2,0,Early,2
DMEL,1,Control,Stage 11,0,0,1,7,9_2,2,0,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,7,9_2,2,0,Early,2
DMEL,1,Control,Stage 11,0,0,1,1,9_2,2,1,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,1,9_2,2,1,Early,2
DMEL,1,Control,Stages 1-7,4,1,1,1,9_2,2,1,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,1,9_2,2,1,Early,2
DMEL,1,Control,Stage 11,0,0,1,2,9_2,2,1,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,2,9_2,2,1,Early,2
DMEL,1,Control,Stages 1-7,4,1,1,2,9_2,2,1,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,2,9_2,2,1,Early,2
DMEL,1,Control,Stage 11,0,0,1,5,9_2,2,1,Early,2
DMEL,1,Control,Stage 12-14,0,0,1,5,9_2,2,1,Early,2
DMEL,1,Control,Stages 1-7,4,1,1,5,9_2,2,1,Early,2
DMEL,1,Control,Stages 8-10,0,0,1,5,9_2,2,1,Early,2
DMEL,4,Control,Stage 11,1,0,1,1,6_1,1,0,Late,3
DMEL,4,Control,Stage 12-14,1,0,1,1,6_1,1,0,Late,3
DMEL,4,Control,Stages 1-7,3,0,1,1,6_1,1,0,Late,3
DMEL,4,Control,Stages 8-10,1,0,1,1,6_1,1,0,Late,3
DMEL,4,Control,Stage 11,1,0,1,2,6_1,1,0,Late,3
DMEL,4,Control,Stage 12-14,1,0,1,2,6_1,1,0,Late,3
DMEL,4,Control,Stages 1-7,2,0,1,2,6_1,1,0,Late,3
DMEL,4,Control,Stages 8-10,0,0,1,2,6_1,1,0,Late,3
DMEL,4,Control,Stage 11,1,0,1,3,6_1,1,0,Late,3
DMEL,4,Control,Stage 12-14,1,0,1,3,6_1,1,0,Late,3
DMEL,4,Control,Stages 1-7,3,0,1,3,6_1,1,0,Late,3
DMEL,4,Control,Stages 8-10,0,0,1,3,6_1,1,0,Late,3
DMEL,4,Control,Stage 11,0,0,1,1,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,1,1,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,4,0,1,1,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,1,1,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,1,2,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,1,2,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,3,0,1,2,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,1,2,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,1,3,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,1,3,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,4,0,1,3,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,1,3,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,1,4,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,1,4,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,2,0,1,4,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,1,4,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,1,5,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,1,5,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,4,0,1,5,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,1,5,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,2,1,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,2,1,6_3,2,0,Late,4
DMEL,4,Control,Stages 1-7,3,0,2,1,6_3,2,0,Late,4
DMEL,4,Control,Stages 8-10,0,0,2,1,6_3,2,0,Late,4
DMEL,4,Control,Stage 11,0,0,2,2,6_3,2,0,Late,4
DMEL,4,Control,Stage 12-14,0,0,2,2,6_3,2,0,Late,4
