Date,Vial,Syringe No,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,Chm Vol,Inj Vol,TVCO2,TVO2,Treatment,Comment,Area_O2,Area_CO2
8/19/22,226,12,DMEL,1,F,0.0012,0.00002,4,7,0.50,0.25,2.89E-05,0.1951986,H-H,,0.2556389,0.3261569
8/22/22,393,11,DMEL,1,M,0.0006,0.00057,4,14,0.50,0.25,1.06E-04,8.18E-02,H-C,,0.2341477,0.2972006
8/24/22,306,25,DMEL,1,M,0.0006,0.00053,3,48,0.50,0.25,4.82E-05,3.06E-02,C-H,,0.2232357,0.2675652
8/22/22,338,25,DMEL,1,F,0.0014,0.00135,4,12,0.50,0.25,8.95E-05,0.1056823,C-H,11 age,0.3233098,0.3821102
8/19/22,182,13,DMEL,1,M,0.0006,0.00057,3,51,0.50,0.25,1.58E-05,0.1801184,H-C,,0.1741094,0.2049984
8/18/22,194,2,DPSE,1,M,0.0006,0.0006,3,59,0.50,0.25,1.99E-05,5.31E-02,C-C,,0.1968004,0.228711
8/22/22,338,26,DMEL,1,F,0.0011,0.00006,4,17,0.50,0.25,3.14E-05,0.1048378,C-H,,0.3587445,0.4045615
8/18/22,204,17,DPSE,2,F,0.0007,0.00060,4,12,0.50,0.25,3.71E-05,3.87E-02,C-C,,0.2211989,0.2484996
8/22/22,396,41,DMEL,1,F,0.0011,0.001,4,12,0.50,0.25,2.19E-05,7.65E-02,H-C,,0.3414938,0.3816293
8/18/22,194,3,DPSE,1,M,0.0008,0.0006,4,2,0.50,0.25,4.16E-05,4.07E-02,C-C,,0.163567,0.1827902
8/16/22,102,1,DPSE,1,F,0.0013,0.0012,3,44,0.50,0.25,5.06E-05,4.28E-02,H-H,,0.1630236,0.1777127
8/22/22,393,14,DMEL,1,M,0.0005,0.00047,4,2,0.50,0.25,7.50E-05,0.1433226,H-C,,0.1720359,0.1869679
8/19/22,182,19,DMEL,1,M,0.0007,0.00067,4,4,0.50,0.25,3.52E-05,4.79E-02,H-C,,0.2503686,0.2686356
8/20/22,289,8,DMEL,1,F,0.0011,0.001,4,5,0.50,0.25,3.16E-05,4.86E-02,H-C,,0.3441742,0.3689617
8/24/22,306,8,DMEL,1,M,0.0007,0.00063,3,55,0.50,0.25,4.65E-05,0.0440343,C-H,,0.2742046,0.2938858
8/22/22,341,21,DMEL,1,M,0.0006,0.00055,4,20,0.50,0.25,6.00E-05,4.45E-02,C-C,,0.2533495,0.2714404
8/22/22,341,22,DMEL,1,M,0.0005,0.00045,4,23,0.50,0.25,7.39E-05,1.38E-02,C-C,,0.2613707,0.2778262
8/22/22,341,23,DMEL,1,M,0.0006,0.00055,4,25,0.50,0.25,4.82E-05,3.79E-02,C-C,,0.3379917,0.3524515
8/22/22,393,12,DMEL,1,M,0.0007,0.00067,4,17,0.50,0.25,4.21E-05,0.1023043,H-C,,0.2944332,0.3035257
8/22/22,338,29,DMEL,1,F,0.0007,0.00065,4,23,0.50,0.25,6.58E-05,4.80E-02,C-H,,0.3107517,0.3193808
8/16/22,129,35,DPSE,3,F,0.0010,0.0007,4,22,0.50,0.25,3.96E-05,0.113524,C-H,,0.2902477,0.2977014
8/24/22,306,27,DMEL,1,M,0.0005,0.00043,3,46,0.50,0.25,5.28E-05,3.33E-02,C-H,,0.2855718,0.2928240
8/16/22,125,28,DPSE,3,M,0.0009,0.0007,4,7,0.50,0.25,3.15E-05,0.1362047,C-H,,0.1863779,0.1891646
8/18/22,204,13,DPSE,2,F,0.0006,0.0006,4,4,0.50,0.25,4.32E-05,1.01E-02,C-C,,0.1836839,0.1857822
8/22/22,393,10,DMEL,1,M,0.0006,0.00057,4,12,0.50,0.25,1.46E-05,8.61E-02,H-C,,0.2370609,0.2392472
8/24/22,385,4,DMEL,2,F,0.0009,0.00087,4,3,0.50,0.25,5.62E-05,0.1740863,C-C,,0.3667257,0.3677547
8/20/22,289,10,DMEL,1,F,0.0011,0.001,4,11,0.50,0.25,8.78E-05,6.64E-03,H-C,,0.4095508,0.410679
8/24/22,385,10,DMEL,2,F,0.0008,0.00077,4,15,0.50,0.25,4.87E-05,1.30E-02,C-C,,0.3398095,0.3406563
8/22/22,341,17,DMEL,1,M,0.0006,0.00055,4,10,0.50,0.25,4.64E-05,5.14E-02,C-C,,0.2397299,0.2377847
8/24/22,306,20,DMEL,1,M,0.0005,0.00043,3,51,0.50,0.25,4.64E-05,4.96E-02,C-H,,0.2420254,0.2400542
